"","game_id","date","home_team","away_team","home_score","away_score","avg_spread_home","avg_spread_money_home","avg_spread_money_away","avg_money_home","avg_money_away"
"2506","MLB_NYY_PIT_20110309",20110309,"NYY","PIT",4,2,1,NA,NA,-170,150
"2532","MLB_TB_BOS_20110310",20110310,"TB","BOS",8,6,2,155,-175,-120.166666666667,103.333333333333
"2533","MLB_PHI_NYY_20110310",20110310,"PHI","NYY",7,0,2,155,-175,-123.333333333333,106.5
"2534","MLB_ATL_STL_20110310",20110310,"ATL","STL",2,1,2,150,-170,-127.6,111.2
"2535","MLB_MIN_TOR_20110310",20110310,"MIN","TOR",4,7,2,140,-160,-126.833333333333,109.833333333333
"2536","MLB_CHC_CLE_20110310",20110310,"CHC","CLE",2,1,2,130,-150,-139.666666666667,122.666666666667
"2537","MLB_MIL_COL_20110310",20110310,"MIL","COL",8,9,2,140,NA,-126.6,110.4
"2538","MLB_LAD_SD_20110310",20110310,"LAD","SD",2,8,2,170,NA,-115.166666666667,-1.5
"2539","MLB_CIN_SF_20110310",20110310,"CIN","SF",0,7,2,150,-170,-117.4,101.2
"2540","MLB_PIT_BAL_20110310",20110310,"PIT","BAL",8,11,1,NA,-170,-120.666666666667,103.833333333333
"2594","MLB_STL_DET_20110311",20110311,"STL","DET",4,7,2,155,-175,-118.166666666667,35.6666666666667
"2595","MLB_TB_PIT_20110311",20110311,"TB","PIT",7,8,2,110,-130,-153.666666666667,134.5
"2596","MLB_NYM_MIA_20110311",20110311,"NYM","MIA",10,0,2,135,-155,-129.166666666667,110.5
"2597","MLB_LAA_ARI_20110311",20110311,"LAA","ARI",9,8,2,150,-170,-127,110
"2598","MLB_CWS_CHC_20110311",20110311,"CWS","CHC",3,4,2,160,-185,-116.166666666667,32.8333333333333
"2599","MLB_CLE_SEA_20110311",20110311,"CLE","SEA",5,5,2,135,-155,-126.666666666667,109.666666666667
"2600","MLB_SD_SF_20110311",20110311,"SD","SF",4,6,2,150,-170,-119.333333333333,102.5
"2645","MLB_HOU_BAL_20110312",20110312,"HOU","BAL",4,6,2,150,-170,-119,102.166666666667
"2646","MLB_BOS_MIA_20110312",20110312,"BOS","MIA",9,2,2,140,-160,-135,118
"2647","MLB_STL_MIN_20110312",20110312,"STL","MIN",3,2,2,150,-170,-123.833333333333,106.833333333333
"2648","MLB_WSH_NYY_20110312",20110312,"WSH","NYY",6,5,33,-155,135,-36.6666666666667,-113.5
"2649","MLB_ATL_NYM_20110312",20110312,"ATL","NYM",12,0,2,140,-160,-129.833333333333,112.833333333333
