Date,Opponent,Event,FighterResult,TSL,TSA,SSL,SSA,TSL-TSA,KD,%BODY,%HEAD,%LEG,OpponentID,SCBL,SCBA,SCHL,SCHA,SCLL,SCLA,RV,SR,TDL,TDA,TDS,TK ACC,SGBL,SGBA,SGHL,SGHA,SGLL,SGLA,AD,ADTB,ADHG,ADTM,ADTS,SM,FighterID,SDBL,SDBA,SDHL,SDHA,SDLL,SDLA,Name,Time,Decision,Rnd,stats_missing,FighterName,OpponentName,fighter_is_A,FighterNameClean,OpponentNameClean,FighterOpen,OpponentOpen,FighterCloseLeft,FighterCloseRight,OpponentCloseLeft,OpponentCloseRight
2007-09-19,Leonard Garcia,UFC Fight Night,W,59.0,90.0,21.0,48.0,0.6556000000000001,0.0,1.0,0.43,0.0,2354086/leonard-garcia,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,0.0,0.5,0.0,0.0,17.0,31.0,0.0,0.0,11.0,3.0,3.0,4.0,1.0,10.0,2335690/cole-miller,1.0,1.0,3.0,16.0,0.0,0.0,cole miller,5:00,Decision - Unanimous,3,False,cole miller,leonard garcia,False,cole miller,leonard garcia,-135.0,115.0,-135.0,-135.0,115.0,115.0
2007-09-19,Jonathan Goulet,UFC Fight Night,W,3.0,5.0,3.0,5.0,0.6,0.0,0.0,0.6,0.0,2335806/jonathan-goulet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2335798/dustin-hazelett,0.0,0.0,3.0,5.0,0.0,0.0,dustin hazelett,1:14,Submission,1,False,dustin hazelett,jonathan goulet,False,dustin hazelett,jonathan goulet,115.0,-135.0,110.0,110.0,-130.0,-130.0
2007-09-22,Forrest Griffin,UFC 76,L,53.0,105.0,27.0,75.0,0.5047999999999999,0.0,1.0,0.3,1.0,2335522/forrest-griffin,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0,12.0,0.0,0.42,0.0,0.0,10.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2335514/mauricio-rua,1.0,1.0,10.0,46.0,3.0,3.0,mauricio rua,4:45,Submission,3,False,mauricio rua,forrest griffin,False,mauricio rua,forrest griffin,-350.0,250.0,-320.0,-320.0,260.0,260.0
2007-09-22,Diego Saraiva,UFC 76,W,109.0,154.0,50.0,90.0,0.7078,0.0,0.78,0.51,1.0,2354337/diego-saraiva,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,36.0,61.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2335673/jeremy-stephens,5.0,7.0,3.0,16.0,3.0,3.0,jeremy stephens,5:00,Decision - Unanimous,3,False,jeremy stephens,diego saraiva,False,jeremy stephens,diego saraiva,-185.0,160.0,-190.0,-190.0,165.0,165.0
2007-09-22,Anthony Johnson,UFC 76,W,43.0,57.0,12.0,24.0,0.7544,0.0,0.0,0.5,0.6,2335663/anthony-johnson,0.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.5,0.0,0.0,6.0,6.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,2335684/rich-clementi,0.0,0.0,2.0,10.0,3.0,5.0,rich clementi,3:05,Submission,2,False,rich clementi,anthony johnson,True,rich clementi,anthony johnson,158.0,-180.0,168.0,168.0,-195.0,-195.0
2007-09-22,Scott Junk,UFC 76,W,7.0,12.0,6.0,11.0,0.5832999999999999,0.0,0.67,0.0,1.0,2556801/scott-junk,4.0,6.0,0.0,2.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2335750/christian-wellisch,0.0,0.0,0.0,1.0,0.0,0.0,christian wellisch,3:19,Submission,1,False,christian wellisch,scott junk,False,christian wellisch,scott junk,-225.0,185.0,-220.0,-220.0,180.0,180.0
2007-09-22,Tyson Griffin,UFC 76,L,32.0,49.0,6.0,21.0,0.6531,0.0,0.83,0.07,0.0,2335677/tyson-griffin,4.0,5.0,0.0,2.0,0.0,0.0,2.0,0.0,4.0,9.0,0.0,0.44,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,2.0,1.0,1.0,4.0,2354193/thiago-tavares,1.0,1.0,1.0,13.0,0.0,0.0,thiago tavares,5:00,Decision - Unanimous,3,False,thiago tavares,tyson griffin,True,thiago tavares,tyson griffin,-110.0,-130.0,125.0,125.0,-145.0,-145.0
2007-09-22,Michihiro Omigawa,UFC 76,W,109.0,167.0,59.0,108.0,0.6527,0.0,0.33,0.54,1.0,2502446/michihiro-omigawa,1.0,2.0,5.0,17.0,0.0,0.0,2.0,0.0,4.0,5.0,0.0,0.8,0.0,2.0,39.0,63.0,4.0,4.0,5.0,2.0,1.0,0.0,2.0,0.0,2354218/matt-wiman,1.0,2.0,9.0,18.0,0.0,0.0,matt wiman,5:00,Decision - Unanimous,3,False,matt wiman,michihiro omigawa,False,matt wiman,michihiro omigawa,-320.0,260.0,-320.0,-320.0,260.0,260.0
2007-10-20,Rich Franklin,UFC 77,W,40.0,49.0,39.0,47.0,0.8162999999999999,3.0,0.92,0.77,1.0,2335498/rich-franklin,7.0,7.0,18.0,20.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2335447/anderson-silva,4.0,5.0,6.0,9.0,2.0,2.0,anderson silva,1:07,KO/TKO,2,False,anderson silva,rich franklin,False,anderson silva,rich franklin,-300.0,220.0,-230.0,-230.0,190.0,190.0
2007-10-20,Kalib Starnes,UFC 77,W,61.0,104.0,57.0,100.0,0.5865,0.0,0.73,0.48,1.0,2335832/kalib-starnes,4.0,6.0,16.0,25.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2335486/alan-belcher,4.0,5.0,21.0,52.0,9.0,9.0,alan belcher,1:39,TKO - Doctor's Stoppage,2,False,alan belcher,kalib starnes,False,alan belcher,kalib starnes,100.0,-140.0,110.0,110.0,-130.0,-130.0
