FighterID,gender
4008547/ahmed-arabdji,M
4913039/jo-arai,M
2501950/romie-aram,M
3019105/taku-aramaki,M
4688869/franco-aranda,M
2555448/alexandre-aranha,M
3156112/oscar-aranha,M
2501494/rivanio-aranha,M
2565792/felipe-arantes,M
4898181/kasim-aras,M
3099603/alan-caster-guedes-araujo,M
3007946/igor-araujo,M
2565288/rerison-araujo,M
4227122/julio-arce,M
2558052/arturo-arcemendes,M
3152203/juan-archuleta,M
4422323/noel-arcibal,M
2556048/dusty-arden,M
4404575/romario-aredes,M
2965046/steven-arellano,M
4835151/jaime-arevalo-villalobos,M
2614110/mozzy-arfa,M
4815973/daniel-argueta,M
2501243/felipe-arinelli,M
4863836/miguel-arizmendi,M
4835136/hashem-arkhagha,M
2354269/andrei-arlovski,M
2501348/marty-armendarez,M
2516676/eddie-armendariz,M
4686270/garrett-armfield,M
4596013/sanad-armouti,M
2951138/joey-armstrong,M
4020801/austin-arnett,M
4063820/jesse-arnett,M
2335520/ricardo-arona,M
4893010/rafael-aronov,M
2558029/chalid-arrab,M
3032201/michael-arrant,M
2501820/akbarh-arreola,M
2555197/fernando-arreola,M
4295398/ricardo-arreola,M
2500781/ricardo-arrivabeive,M
4371002/antonio-arroyo,M
2335669/matt-arroyo,M
2499037/paul-arroyo,M
2952791/gilles-arsene,M
3020428/paulo-arum,M
2504823/demetrios-arvanitopoulos,M
3952890/cesar-arzamendia,M
4336757/kai-asakura,M
2506259/grigor-aschugbabjan,M
4033520/teddy-ash,M
3074103/shaun-asher,M
4295668/arman-ashimov,M
4683654/arthur-ashton,M
4064692/askar-askarov,M
3968304/cyril-asker,M
4218576/khusein-askhabov,M
3075571/scott-askham,M
2500597/ben-askren,M
4684240/ibo-aslan,M
3954876/arthur-aslanyan,M
2497587/daniel-aspe,M
4010976/tom-aspinall,M
2558001/pat-assalone,M
2557447/assim-assine,M
4081147/bruno-assis,M
2966143/freddy-assuncao,M
3017969/nilson-assuncao,M
2354364/raphael-assuncao,M
4320937/dukvaha-astamirov,M
2559853/astravroslakis-astravroslakis,M
2500906/bozigit-ataev,M
3097617/leandro-ataides,M
4792400/gourav-athwal,M
3120080/tim-atkinson,M
4339498/kharun-atlangeriev,M
3089924/sean-attiig,M
2504641/rich-attonito,M
2565152/josh-atwell,M
3096577/olivier-aubin-mercier,M
4881808/eugene-aubry,M
4684239/jose-augusto,M
3039890/rafael-augusto,M
4708539/bruno-augusto-dos-santos,M
2499995/jesse-ault,M
4691326/marco-aurelio-ligerio,M
2984800/jamell-austin,M
3146831/stuart-austin,M
2570367/steve-avalos,M
2975561/jeff-avants,M
3095674/joshua-aveles,M
2555743/david-avellan,M
2574689/blas-avena,M
2558030/mikhail-avetisyan,M
2951140/anthony-avila,M
2595929/cesar-avila,M
4022255/chris-avila,M
2553959/saad-awad,M
4697120/yede-awo,M
3074081/javy-ayala,M
2977002/raymond-ayala,M
4021651/jessin-ayari,M
4896577/sukhrob-aydarbekov,M
2565281/francisco-ayon,M
3044658/asan-aysabekov,M
3094635/abu-azaitar,M
4424020/ottman-azaitar,M
2479466/luiz-azeredo,M
2957839/jetron-azevedo,M
2381679/luciano-azevedo,M
3093695/anzor-azhiev,M
2511419/sami-aziz,M
4425706/hunter-azure,M
3084194/yuki-baba,M
2558459/justin-babbs,M
2559789/gregory-babene,M
2512067/victor-babkir,M
2967447/moses-baca,M
2977029/vern-baca,M
4238267/anthony-baccam,M
2517165/chris-bachmeier,M
2555353/ivan-bacic,M
3098599/thomas-back,M
2501938/atte-backman,M
3105013/niklas-backstrom,M
2500653/butch-bacon,M
2969849/dennis-bacon,M
2504644/seth-baczynski,M
2512087/mohammed-badadivand,M
2335530/ryan-bader,M
4702566/nicholas-badis,M
4806383/odbayar-badral,M
2554888/caloy-baduria,M
3077941/myung-ho-bae,M
2569991/seung-bae-whi,M
2502046/rob-baer,M
4423448/miguel-baeza,M
4291054/dino-bagattin,M
3044633/ali-bagautinov,M
3114626/mehdi-baghdad,M
4686734/melsik-baghdasaryan,M
3147371/tom-bagnasco,M
2966182/ali-bagov,M
2431357/siyar-bahadurzada,M
4038116/ignacio-bahamondes,M
3100786/mohsen-bahari,M
4215817/yannick-bahati,M
2553843/nailson-bahia,M
3125661/chris-bahn,M
4683401/jaroslav-bahnicek,M
4700289/jeff-bailey,M
4039832/jordan-bailey,M
2500000/justin-bailey,M
4234326/cj-baines,M
2498649/brian-bair,M
4421162/ibragim-baisarov,M
3044659/zharkyn-baizakov,M
4890907/joe-baize,M
3093739/szymon-bajor,M
2354353/beau-baker,M
2335846/bryan-baker,M
2984798/dustin-baker,M
4354662/glen-baker,M
2556057/kyle-baker,M
2972883/nathaniel-baker,M
2951141/scott-baker,M
2515916/steven-baker,M
2354362/zane-baker,M
2558474/suren-balachinskiy,M
4275030/marat-balaev,M
4239519/gustavo-balart,M
4683402/norbert-balasz,M
2553066/fatih-balci,M
4901319/edgar-balderrama,M
2501951/casey-balkenbush,M
2516654/tj-ball,M
2502150/boyd-ballard,M
2558552/gerrald-ballinger,M
4878452/donnie-ballou,M
4423235/cesar-balmaceda,M
4689534/diego-baltazar,M
4714335/arsen-balyants,M
3093383/lola-bamgbala,M
3918015/oluwale-bamgbose,M
3020444/cristiano-bananada,M
3264074/stephen-banaszak,M
2447645/vitelmo-kubis-bandeira,M
3945574/ricky-bandejas,M
3127609/marcin-bandel,M
3953370/humberto-bandenay,M
3082804/tae-hyun-bang,M
2558420/yohan-banks,M
4625620/darko-banovic,M
3083872/troy-bantiag,M
2505274/antonio-banuelos,M
2502048/don-banville,M
2554296/dora-baptiste,M
4756359/antonio-barajas,M
3154115/joe-barajas,M
2555619/nabih-barakat,M
2504550/renan-barao,M
2951142/junior-barata,M
2501385/neil-barber,M
2515900/ramon-barber,M
3111927/bryan-barberena,M
4712722/alisson-barbosa,M
2494743/aritano-barbosa,M
2502319/charles-barbosa,M
2559808/daniel-barbosa,M
2489736/marcelo-barbosa,M
3896932/paulo-barbosa,M
4334759/rafael-barbosa,M
4421048/thiago-barbosa,M
2526299/edson-barboza,M
3075570/raoni-barcelos,M
4236496/daniel-barez,M
2354440/logan-barger,M
4714792/mehdi-barghi,M
3156129/anthony-barker,M
2553719/tony-barker,M
2354304/jason-barlog,M
3098622/vic-barlow,M
2977086/josh-barlowe,M
3067201/mansour-barnaoui,M
3026165/luke-barnatt,M
3924102/james-barnes,M
2504941/josh-barnes,M
3945200/nick-barnes,M
4875515/shonte-barnes,M
2517092/wesley-barnes,M
2960757/chris-barnett,M
2354241/josh-barnett,M
3025965/sean-barnett,M
4311131/tim-barnett,M
2546730/chris-barnhizer,M
3996917/sebastian-baron,M
2488849/phil-baroni,M
2527783/george-barrazza,M
3045893/gabriel-barreiro,M
2611053/patrick-barrentine,M
2555789/chris-barrera,M
2354198/dan-barrera,M
2994495/mike-barreras,M
2501782/carlos-barreto,M
2479469/jose-barreto,M
4388465/peter-barrett,M
4415883/marc-andre-barriault,M
3988882/francisco-albano-barrio,M
2556824/david-barrios,M
2517189/james-barris,M
2502064/alosio-barros,M
2354303/cesar-barros,M
4401167/domingos-barros,M
2501382/ricardo-barros,M
4812392/wilker-barros,M
2996767/francimar-barroso,M
2499256/aaron-barrow,M
4687306/connor-barry,M
3127966/dean-barry,M
4706912/dean-barry,M
2335658/pat-barry,M
2504952/paul-barry,M
2537060/sean-bartlett,M
4720080/jordan-barton,M
3901014/enrique-barzola,M
2501984/albert-basconcelles,M
4867357/javid-basharat,M
2558092/mike-baskis,M
2498778/adam-bass,M
2611952/stephen-bass,M
2951144/sean-bassett,M
4900712/oliver-bassil,M
2500728/bruno-bastos,M
4876403/jeferson-bastos,M
4274898/adlan-bataev,M
2558495/diego-bataglia,M
2431296/rocky-batastini,M
2557844/chris-baten,M
2614813/calvin-bates,M
4799814/jaylon-bates,M
4389093/danaa-batgerel,M
4763864/isaiah-batin-gonzalez,M
4421000/guilherme-batista,M
4421050/gustavo-batista,M
4277857/herdeson-batista,M
4406521/michel-batista,M
2553876/danny-batten,M
4815998/bryan-battle,M
4042078/tilek-batyrov,M
4422319/alan-baudot,M
2515780/gary-baugh,M
2516593/james-baumgardner,M
2996327/dave-bautista,M
4410868/mario-bautista,M
2555194/martin-bautista,M
4875437/alan-bautista-munoz,M
4689231/mehdi-baydulaev,M
2554812/oleg-bazayev,M
4888697/damian-baziak,M
2504681/erin-beach,M
2488469/travis-beachler,M
3001208/chris-beal,M
3087860/matt-bean,M
4684001/david-bear,M
2501781/matt-bear,M
2501928/rudy-bears,M
4699680/conway-beaudry,M
2501257/eric-beaulieu,M
3011427/stephen-beaumont,M
2613527/brent-beauparlant,M
2502155/gabe-beauperthy,M
2553634/beaver-beaver,M
2951394/art-becerra,M
2969843/sabino-becerra,M
3029127/brandon-becker,M
2501535/jarrett-becks,M
3092546/casey-beckstead,M
2447631/jeff-bedard,M
4883823/vladimir-bedarev,M
2514871/johnny-bedford,M
2554295/jessica-bednark,M
2967033/karol-bedorf,M
4688625/jhon-bedoya,M
2555258/curt-bee,M
3029800/carson-beebe,M
2558191/rich-beecroft,M
4903519/allan-begosso,M
3076912/stjepan-bekavac,M
2558024/iouri-bekichev,M
3095666/mirsad-bektic,M
2335486/alan-belcher,M
2499869/wilson-belchoir,M
2354057/vitor-belfort,M
4580864/yassine-belhadj,M
3156113/ezzedine-belharch,M
4420263/alexander-belikh,M
2996082/kevin-belingon,M
4685997/brandon-bell,M
4702588/cass-bell,M
2594873/cody-bell,M
3088882/keith-bell,M
3027320/matthew-bell,M
2501552/mike-bell,M
2556357/nate-bell,M
2500656/victor-bell,M
2504950/frederic-belleton,M
2516613/jake-bello,M
4293151/sergey-belostenniy,M
4312400/giorgio-belsanti,M
3155422/marco-beltran,M
2556924/andrew-belvado,M
4682540/mehdi-ben-lakhdhar,M
2500457/joseph-benavidez,M
2500901/mike-bencic,M
2502047/jason-bender,M
4688505/donelei-benedetto,M
2501398/phil-benedict,M
