missing,Date,FighterName,OpponentName,wager_A,wager_B,opener_A,opener_B,bet365_A,bet365_B,888sport_A,888sport_B,unibet_A,unibet_B,betway_A,betway_B,FighterOpener,Opponent,Res.,Decision,Rnd,Time,Event,OpponentID,FighterID
False,2017-07-07,justin gaethje,michael johnson,59%,41%,+140,-160,+138,-163,-,-,-,-,-,-,0.40372670807453415,,,,,,,,
True,2017-07-07,aspen ladd,jessica eye,,,,,,,,,,,,,,,,,,,,,
False,2017-07-08,james bochnovic,trevin giles,66%,34%,+260,-310,+225,-275,-,-,-,-,-,-,0.26867627785058973,,,,,,,,
False,2017-07-08,terrion ware,cody stamann,54%,46%,+250,-300,+225,-275,-,-,-,-,-,-,0.27586206896551724,,,,,,,,
False,2017-07-08,rob font,douglas silva de andrade,52%,48%,-265,+225,-333,+250,-,-,-,-,-,-,0.7023445463812437,,,,,,,,
False,2017-07-08,belal muhammad,jordan mein,57%,43%,-145,+125,-138,+110,-,-,-,-,-,-,0.5711159737417943,,,,,,,,
False,2017-07-08,gerald meerschaert,thiago santos,53%,47%,+102,-122,+138,-163,-,-,-,-,-,-,0.4739134147382802,,,,,,,,
False,2017-07-08,brian camozzi,chad laprise,47%,53%,+260,-310,+500,-700,-,-,-,-,-,-,0.26867627785058973,,,,,,,,
False,2017-07-08,aleksei oleinik,travis browne,43%,57%,+160,-185,+225,-275,-,-,-,-,-,-,0.3720626631853786,,,,,,,,
False,2017-07-08,jim miller,anthony pettis,40%,60%,+180,-210,+188,-225,-,-,-,-,-,-,0.3452115812917595,,,,,,,,
False,2017-07-08,alistair overeem,fabricio werdum,62%,38%,-132,+112,-125,+100,-,-,-,-,-,-,0.5467333541731791,,,,,,,,
False,2017-07-08,curtis blaydes,daniel omielanczuk,42%,58%,-500,+385,-800,+550,-,-,-,-,-,-,0.8016528925619835,,,,,,,,
False,2017-07-08,robert whittaker,yoel romero,55%,45%,-105,-115,-125,+100,-134,+100,-,-,-,-,0.4891657638136511,,,,,,,,
True,2017-07-08,valentina shevchenko,amanda nunes,,,,,,,,,,,,,,,,,,,,,
False,2017-07-11,joby sanchez,manny vazquez,60%,40%,-125,+105,-,-,-,-,-,-,-,-,0.5324675324675325,,,,,,,,
False,2017-07-11,jamie pickett,charles byrd,46%,54%,+120,-140,-,-,-,-,-,-,-,-,0.43795620437956206,,,,,,,,
False,2017-07-11,ricky turcios,boston salmon,47%,53%,-120,+100,-,-,-,-,-,-,-,-,0.5217391304347826,,,,,,,,
False,2017-07-11,azunna anyanwu,greg rebello,65%,35%,+160,-185,-,-,-,-,-,-,-,-,0.3720626631853786,,,,,,,,
False,2017-07-11,kurt holobaugh,matt bessette,35%,65%,-415,+345,-,-,-,-,-,-,-,-,0.7819413570445645,,,,,,,,
False,2017-07-16,amanda lemos,leslie smith,43%,57%,+145,-165,+188,-225,-,-,-,-,-,-,0.39596563317146055,,,,,,,,
False,2017-07-16,albert morales,brett johns,69%,31%,+330,-400,+300,-400,-,-,-,-,-,-,0.22522522522522523,,,,,,,,
False,2017-07-16,daniel teymur,danny henry,40%,60%,-215,+185,-188,+163,-,-,-,-,-,-,0.6604688763136621,,,,,,,,
False,2017-07-16,galore bofando,charlie ward,48%,52%,-220,+185,-200,+170,-,-,-,-,-,-,0.662090813093981,,,,,,,,
False,2017-07-16,neil seery,alexandre pantoja,97%,3%,+275,-335,+275,-350,-,-,-,-,-,-,0.2572062084257206,,,,,,,,
False,2017-07-16,bobby nash,danny roberts,33%,67%,+200,-235,+163,-188,-,-,-,-,-,-,0.32211538461538464,,,,,,,,
False,2017-07-16,justin willis,james mulheron,60%,40%,-210,+180,-175,+150,-,-,-,-,-,-,0.6547884187082406,,,,,,,,
False,2017-07-16,paul craig,khalil rountree jr.,57%,43%,+205,-240,+138,-163,-,-,-,-,-,-,0.3171641791044776,,,,,,,,
False,2017-07-16,ryan janes,jack marshman,57%,43%,+345,-415,+400,-550,-,-,-,-,-,-,0.2180586429554356,,,,,,,,
False,2017-07-16,paul felder,stevie ray,52%,48%,-105,-115,+163,-188,-,-,-,-,-,-,0.4891657638136511,,,,,,,,
False,2017-07-16,cynthia calvillo,joanne wood,44%,56%,-260,+220,-188,+163,-,-,-,-,-,-,0.6979865771812079,,,,,,,,
False,2017-07-16,santiago ponzinibbio,gunnar nelson,46%,54%,+160,-185,+150,-175,-,-,-,-,-,-,0.3720626631853786,,,,,,,,
False,2017-07-18,casey kenney,c.j. hamilton,48%,52%,-110,-110,-,-,-,-,-,-,-105,-120,0.5,,,,,,,,
False,2017-07-18,michael cora,sidney outlaw,58%,42%,+150,-175,-,-,-,-,-,-,+138,-175,0.3859649122807018,,,,,,,,
False,2017-07-18,lazar stojadinovic,thanh le,50%,50%,+120,-140,-,-,-,-,-,-,+110,-138,0.43795620437956206,,,,,,,,
False,2017-07-18,alfred khashakyan,sean o'malley,45%,55%,+205,-240,-,-,-,-,-,-,+188,-250,0.3171641791044776,,,,,,,,
False,2017-07-18,angel de anda,dan spohn,44%,56%,+185,-220,-,-,-,-,-,-,+230,-350,0.337909186906019,,,,,,,,
False,2017-07-22,chris wade,frankie perez,44%,56%,-273,+233,-300,+240,-,-,-,-,-300,+225,0.709068786122659,,,,,,,,
False,2017-07-22,godofredo pepey,shane burgos,59%,41%,+257,-307,+450,-600,-,-,-,-,+320,-500,0.27079355152063556,,,,,,,,
False,2017-07-22,junior albini,timothy johnson,47%,53%,+180,-210,+200,-250,-,-,-,-,+200,-250,0.3452115812917595,,,,,,,,
False,2017-07-22,marlon vera,brian kelleher,60%,40%,+180,-210,+180,-220,-,-,-,-,+175,-225,0.3452115812917595,,,,,,,,
False,2017-07-22,jeremy kennedy,kyle bochniak,48%,52%,-230,+195,-250,+200,-,-,-,-,-250,+200,0.6727813584531482,,,,,,,,
False,2017-07-22,chase sherman,damian grabowski,67%,33%,-210,+180,-275,+225,-,-,-,-,-250,+200,0.6547884187082406,,,,,,,,
False,2017-07-22,alex oliveira,ryan laflare,53%,47%,+165,-190,+150,-175,-,-,-,-,+150,-188,0.36546943919344677,,,,,,,,
False,2017-07-22,eryk anders,rafael natal,52%,48%,-110,-110,-125,+100,-,-,-,-,-120,+100,0.5,,,,,,,,
False,2017-07-22,elizeu zaleski dos santos,lyman good,59%,41%,+180,-210,+125,-150,-,-,-,-,+140,-175,0.3452115812917595,,,,,,,,
False,2017-07-22,thomas almeida,jimmie rivera,46%,54%,+153,-178,+163,-188,-,-,-,-,+163,-200,0.38168987011560535,,,,,,,,
False,2017-07-22,gian villante,patrick cummins,45%,55%,-105,-115,-210,+175,-,-,-,-,-200,+163,0.4891657638136511,,,,,,,,
False,2017-07-22,darren elkins,dennis bermudez,59%,41%,+180,-210,+170,-200,-,-,-,-,+180,-225,0.3452115812917595,,,,,,,,
False,2017-07-22,kelvin gastelum,chris weidman,63%,37%,-133,+113,-160,+130,-,-,-,-,-163,+130,0.5487032481744757,,,,,,,,
False,2017-07-25,geoff neal,chase waldon,51%,49%,+115,-135,-,-,-,-,-,-,-,-,0.447405997144217,,,,,,,,
False,2017-07-25,kyle stewart,jason jackson,41%,59%,+145,-170,-,-,-,-,-,-,-,-,0.39329934450109244,,,,,,,,
False,2017-07-25,karl roberson,ryan spann,38%,62%,+120,-140,-,-,-,-,-,-,-,-,0.43795620437956206,,,,,,,,
False,2017-07-29,drew dober,joshua burkman,38%,62%,-260,+220,-333,+250,-,-,-,-,-350,+260,0.6979865771812079,,,,,,,,
False,2017-07-29,jarred brooks,eric shelton,46%,54%,-160,+140,-160,+130,-,-,-,-,-163,+130,0.5962732919254659,,,,,,,,
False,2017-07-29,alexandra albu,kailin curran,54%,46%,-140,+120,-170,+140,-,-,-,-,-163,+130,0.562043795620438,,,,,,,,
False,2017-07-29,calvin kattar,andre fili,63%,37%,+250,-300,+300,-400,-,-,-,-,+290,-400,0.27586206896551724,,,,,,,,
False,2017-07-29,brian ortega,renato moicano,64%,36%,+118,-138,+163,-188,-,-,-,-,+140,-175,0.4416895553411031,,,,,,,,
False,2017-07-29,renan barao,aljamain sterling,46%,54%,+115,-135,-138,+110,-,-,-,-,-125,+100,0.447405997144217,,,,,,,,
False,2017-07-29,jason knight,ricardo lamas,43%,57%,-120,+100,-125,+100,-,-,-,-,-118,-118,0.5217391304347826,,,,,,,,
False,2017-07-29,volkan oezdemir,jimi manuwa,42%,58%,+145,-170,+150,-175,-,-,-,-,+130,-182,0.39329934450109244,,,,,,,,
False,2017-07-29,donald cerrone,robbie lawler,55%,45%,+140,-160,+130,-160,-,-,-,-,+130,-163,0.40372670807453415,,,,,,,,
False,2017-07-29,tonya evinger,cris cyborg,95%,5%,+775,-1100,+700,-1200,-,-,-,-,+700,-1205,0.11085450346420324,,,,,,,,
False,2017-07-29,demian maia,tyron woodley,57%,43%,+155,-180,+180,-220,-,-,-,-,+163,-200,0.37889039242219213,,,,,,,,
False,2017-07-29,jon jones,daniel cormier,38%,62%,-250,+210,-333,+250,-,-,-,-,-275,+220,0.6888888888888889,,,,,,,,
False,2017-08-05,jordan rinaldi,alvaro herrera,43%,57%,-213,+183,-200,+170,-,-,-,-,-225,+175,0.658218587230697,,,,,,,,
False,2017-08-05,roberto sanchez,joseph morales,36%,64%,-138,+118,-125,+100,-,-,-,-,-125,+100,0.5583104446588969,,,,,,,,
False,2017-08-05,diego rivas,jose quinonez,47%,53%,+195,-230,+200,-250,-,-,-,-,+200,-250,0.32721864154685176,,,,,,,,
False,2017-08-05,rani yahya,henry briones,41%,59%,-143,+123,-220,+180,-,-,-,-,-275,+210,0.5675310114079267,,,,,,,,
False,2017-08-05,hector sandoval,dustin ortiz,59%,41%,+170,-200,+163,-188,-,-,-,-,+163,-200,0.35714285714285715,,,,,,,,
False,2017-08-05,jack hermansson,bradley scott,53%,47%,-240,+205,-300,+240,-,-,-,-,-250,+175,0.6828358208955224,,,,,,,,
False,2017-08-05,andre soukhamthath,alejandro perez,57%,43%,-110,-110,+140,-170,-,-,-,-,+110,-154,0.5,,,,,,,,
False,2017-08-05,rashad evans,sam alvey,47%,53%,+140,-160,+120,-143,-,-,-,-,+105,-143,0.40372670807453415,,,,,,,,
False,2017-08-05,humberto bandenay,martin bravo,54%,46%,+245,-285,+240,-300,-,-,-,-,+195,-286,0.28138132651196784,,,,,,,,
