"","game_id","date","home_team","away_team","home_score","away_score","avg_spread_home","avg_spread_money_home","avg_spread_money_away","avg_money_home","avg_money_away"
"5572","NCAAF_Clemson_Wofford_20110910",20110910,"Clemson","Wofford",0,0,-2,-111.375,-78.5714285714286,-4750,1900
"5573","NCAAF_AirForce_TCU_20110910",20110910,"AirForce","TCU",19,35,34,-109,-109.888888888889,106.125,-125
"5574","NCAAF_Oregon_Nevada_20110910",20110910,"Oregon","Nevada",69,20,-4.33333333333333,-86.1111111111111,-109.444444444444,-3250,1875
"5575","NCAAF_Tennessee_Cincinnati_20110910",20110910,"Tennessee","Cincinnati",0,0,13.6111111111111,-108.222222222222,-109.555555555556,-171.666666666667,153.111111111111
"5576","NCAAF_Tulane_Tulsa_20110910",20110910,"Tulane","Tulsa",3,31,41.5555555555556,-108.444444444444,-109.5,381.125,-464.375
"5577","NCAAF_EastCarolina_VirginiaTech_20110910",20110910,"EastCarolina","VirginiaTech",10,17,46.8333333333333,-87,-108.555555555556,577.428571428571,-760.714285714286
"5578","NCAAF_Rice_Purdue_20110910",20110910,"Rice","Purdue",24,22,26,-108.875,-109.333333333333,113.285714285714,-131.625
"5579","NCAAF_PennState_Alabama_20110910",20110910,"PennState","Alabama",0,0,37.8888888888889,-109.222222222222,-108.555555555556,304.888888888889,-371.111111111111
"5580","NCAAF_Marshall_SouthernMiss_20110910",20110910,"Marshall","SouthernMiss",26,20,51.2222222222222,-109.333333333333,-108.444444444444,250.666666666667,-297.777777777778
"5581","NCAAF_Minnesota_NewMexicoState_20110910",20110910,"Minnesota","NewMexicoState",21,28,-7.94444444444444,-110,-109.444444444444,-1307.14285714286,874.285714285714
"5582","NCAAF_Northwestern_EasternIllinois_20110910",20110910,"Northwestern","EasternIllinois",42,21,-3.72222222222222,-109.444444444444,-109.444444444444,-27500,8500
"5583","NCAAF_Colorado_California_20110910",20110910,"Colorado","California",33,36,49.2777777777778,-110,-85.5555555555556,191.444444444444,-225
"5584","NCAAF_Washington_Hawaii_20110910",20110910,"Washington","Hawaii",40,32,19.2222222222222,-108.777777777778,-109,-198.333333333333,171.111111111111
"5585","NCAAF_Syracuse_RhodeIsland_20110910",20110910,"Syracuse","RhodeIsland",21,14,-4.61111111111111,-86.1111111111111,-110.555555555556,-5000,2000
"5586","NCAAF_Georgia_SouthCarolina_20110910",20110910,"Georgia","SouthCarolina",0,0,40.8888888888889,-64.2222222222222,-42.4444444444444,126.111111111111,-144.333333333333
